learning_rate,hidden_size,epochs,avg_rmse
0.001,32,20,6.035144014718547
0.001,32,50,6.102270634845002
0.001,32,100,6.303049620405013
0.001,64,20,6.083885828124723
0.001,64,50,6.177822590461849
0.001,64,100,6.630391663566961
0.001,128,20,6.110708956792867
0.001,128,50,6.353102014876861
0.001,128,100,7.3932627982633035
0.01,32,20,6.661525439799261
0.01,32,50,7.594331295059135
0.01,32,100,9.119383581826856
0.01,64,20,6.793883465954323
0.01,64,50,8.54634507008887
0.01,64,100,9.129411068314274
0.01,128,20,7.521606898577602
0.01,128,50,8.312597339551335
0.01,128,100,8.345386405388536
